name,type,fdp
C131D,sa0,0.326171875
C131D,sa1,0.0859375
C131DE,sa0,0.0703125
C131DE,sa1,0.279296875
C131DE_C76D_A,sa0,0.000976563
C131DE_IIII420_C,sa1,0.01953125
C131DE_IIII495_C,sa1,0.03515625
C131DE_IIII91_B,sa1,0.1875
C131D_IIII243_A,sa1,0.015625
C132D,sa1,0.390625
C133D,sa1,0.087890625
C134D,sa1,0.205078125
C135D,sa1,0.443359375
C137D,sa1,0.064453125
C138D,sa0,0.270935059
C138D,sa1,0.104492188
C138DE,sa0,0.084960938
C138DE,sa1,0.220153809
C138DE_Av13_D_20B_A,sa1,0.017578125
C138DE_C222D_A,sa0,0.015625
C138DE_C29D_A,sa0,0.002929688
C138DE_C84D_A,sa0,0.012207031
C138DE_IIII151_B,sa1,0.041992188
C138DE_IIII250_C,sa1,0.008728027
C138DE_IIII253_C,sa1,0.009765625
C138DE_IIII256_C,sa1,0.046875
C138DE_IIII278_B,sa1,0.046875
C138DE_IIII293_A,sa1,0.0234375
C138DE_IIII362_B,sa1,0.05859375
C138DE_IIII384_B,sa1,0.01953125
C138DE_IIII414_B,sa1,0.011230469
C138DE_IIII450_C,sa1,0.001159668
C138DE_IIII475_C,sa1,0.004394531
C138DE_IIII491_B,sa1,0.0546875
C138DE_IIII505_C,sa1,0.0078125
C138DE_IIII514_D,sa1,0.0234375
C138D_IIII306_B,sa1,0.015625
C138D_IIII332_A,sa1,0.015625
C139D,sa1,0.0625
C140D,sa1,0.34375
C141D,sa0,0.176757813
C141D,sa1,0.0546875
C141DE,sa0,0.005859375
C141DE,sa1,0.0390625
C141DE_IIII383_B,sa1,0.02734375
C141DE_IIII485_B,sa1,0.01171875
C141D_C49D_A,sa0,0.158203125
C141D_IIII320_B,sa1,0.0078125
C141D_IIII399_B,sa1,0.0078125
C142D,sa1,0.001953125
C143D,sa1,0.033203125
C144D,sa0,0.44519043
C144D,sa1,0.139648438
C144DE,sa0,0.121582031
C144DE,sa1,0.431518555
C144DE_IIII136_B,sa1,0.09375
C144DE_IIII140_C,sa1,0.10546875
C144DE_IIII148_C,sa1,0.0234375
C144DE_IIII161_A,sa1,0.1171875
C144DE_IIII179_C,sa1,0.046875
C144DE_IIII182_C,sa1,0.09375
C144DE_IIII202_B,sa1,0.002929688
C144DE_IIII215_C,sa1,0.0859375
C144DE_IIII226_C,sa1,0.09375
C144DE_IIII229_C,sa1,0.046875
C144DE_IIII243_C,sa1,0.125
C144DE_IIII247_B,sa1,0.03515625
C144DE_IIII272_B,sa1,0.078125
C144DE_IIII308_B,sa1,0.013427734
C144DE_IIII339_B,sa1,0.046875
C144DE_IIII433_B,sa1,0.03125
C144DE_IIII436_C,sa1,0.032226563
C144DE_IIII438_C,sa1,0.0234375
C144DE_IIII75_B,sa1,0.08984375
C144D_C120D_A,sa0,0.0234375
C144D_C98D_A,sa0,0.0078125
C144D_IIII175_B,sa1,0.01953125
C145D,sa1,0.025390625
C146D,sa1,0.0390625
C147D,sa1,0.091796875
C148D,sa1,0.072265625
C150D,sa1,0.0625
C151D,sa1,0.0859375
C152D,sa1,0.171875
C153D,sa1,0.3984375
C155D,sa1,0.01953125
C156D,sa1,0.0625
C157D,sa0,0.192382813
C157D,sa1,0.0546875
C157DE,sa0,0.0390625
C157DE,sa1,0.161132813
C157DE_C123D_A,sa0,0.015625
C157DE_IIII131_C,sa1,0.028320313
C157DE_IIII284_B,sa1,0.0390625
C157DE_IIII302_B,sa1,0.04296875
C157DE_IIII423_B,sa1,0.008056641
C157DE_IIII64_B,sa1,0.032226563
C157D_IIII395_A,sa1,0.015625
C158D,sa1,0.0625
C159D,sa0,0.017578125
C159D,sa1,0.017578125
C159D_C168D_A,sa0,0.017578125
C159D_IIII342_A,sa1,0.017578125
C160D,sa1,0.064453125
C161D,sa1,0.14453125
C162D,sa1,0.32421875
C163D,sa1,0.052734375
C164D,sa1,0.279296875
C165D,sa0,0.33984375
C165D,sa1,0.135742188
C165DE,sa0,0.134765625
C165DE,sa1,0.333984375
C165DE_C36D_A,sa0,0.0078125
C165DE_IIII242_B,sa1,0.140625
C165DE_IIII338_B,sa1,0.0625
C165DE_IIII34_B,sa1,0.124023438
C165DE_IIII359_B,sa1,0.025390625
C165DE_IIII435_B,sa1,0.06640625
C165DE_IIII460_C,sa1,0.046875
C165DE_IIII463_A,sa1,0.0234375
C165DE_IIII86_B,sa1,0.084472656
C165D_IIII232_A,sa1,0.000976563
C166D,sa0,0.01171875
C166D,sa1,0.00390625
C166DE,sa0,0.00390625
C166DE,sa1,0.01171875
C166DE_IIII145_B,sa1,0.01171875
C166DE_IIII513_B,sa1,0.01171875
C166D_IIII381_A,sa1,0.00390625
C167D,sa1,0.015625
C168D,sa1,0.017578125
C169D,sa1,0.033203125
C170D,sa0,0.1796875
C170D,sa1,0.109375
C170D_IIII141_A,sa1,0.109375
C170D_IIII79_B,sa1,0.0546875
C172D,sa1,0.03515625
C173D,sa1,0.08203125
C174D,sa1,0.19140625
C175D,sa1,0.1328125
C176D,sa1,0.3203125
C177D,sa1,0.42578125
C178D,sa1,0.0625
C179D,sa1,0.0078125
C180DE,sa0,0.016601563
C181D,sa1,0.03515625
C183D,sa1,0.15625
C184D,sa1,0.3671875
C185D,sa0,0.046875
C185D,sa1,0.104003906
C185D_IIII245_A,sa1,0.065429688
C185D_IIII65_B,sa1,0.038574219
C186D,sa1,0.147460938
C187D,sa1,0.1640625
C188D,sa1,0.3671875
C189D,sa1,0.143554688
C190D,sa1,0.341796875
C191D,sa0,0.11328125
C191D,sa1,0.04296875
C191DE,sa0,0.02734375
C191DE,sa1,0.06640625
C191DE_C93D_A,sa0,0.0078125
C191DE_IIII346_B,sa1,0.0234375
C191DE_IIII463_B,sa1,0.0234375
C191DE_IIII505_D,sa1,0.01171875
C191D_IIII161_B,sa1,0.0078125
C191D_IIII354_A,sa1,0.015625
C192D,sa1,0.078125
C193D,sa1,0.0078125
C194DE,sa0,0.0078125
C194DE,sa1,0.03515625
C194DE_C180D_A,sa0,0.004882813
C194DE_IIII202_D,sa1,0.002929688
C194DE_IIII405_C,sa1,0.029296875
C194DE_IIII497_C,sa1,0.017578125
C195D,sa0,0.053710938
C195D,sa1,0.016601563
C195DE,sa1,0.018554688
C195D_IIII169_A,sa1,0.01171875
C196D,sa1,0.01953125
C199D,sa1,0.052734375
C200D,sa1,0.23828125
C201D,sa1,0.0546875
C202D,sa1,0.15625
C203D,sa1,0.01953125
C205D,sa1,0.04296875
C206D,sa1,0.111328125
C207D,sa1,0.353515625
C208D,sa0,0.025390625
C208D,sa1,0.009765625
C208DE,sa0,0.009765625
C208D_IIII297_B,sa1,0.005859375
C209D,sa1,0.076171875
C210D,sa1,0.228515625
C211D,sa1,0.1171875
C213D,sa1,0.10546875
C214D,sa1,0.203125
C215D,sa1,0.109375
C216D,sa1,0.21875
C217D,sa1,0.09765625
C218D,sa0,0.046875
C218D,sa1,0.03515625
C218DE,sa1,0.0390625
C218D_IIII378_A,sa1,0.00390625
C219D,sa1,0.09375
C220D,sa0,0.186035156
C220D,sa1,0.0625
C220DE,sa0,0.046875
C220DE,sa1,0.149902344
C220DE_Av13_D_20B_B,sa1,0.017578125
C220DE_IIII145_C,sa1,0.01171875
C220DE_IIII266_C,sa1,0.046875
C220DE_IIII441_B,sa1,0.021484375
C220DE_IIII452_B,sa1,0.014648438
C220DE_IIII482_B,sa1,0.044921875
C220DE_IIII485_C,sa1,0.01171875
C220D_IIII390_A,sa1,0.015625
C221D,sa1,0.0625
C222D,sa1,0.0390625
C223D,sa1,0.08203125
C224D,sa1,0.4453125
C225D,sa1,0.40234375
C26D,sa1,0.0234375
C27D,sa1,0.017578125
C28D,sa1,0.186523438
C29D,sa1,0.022460938
C30D,sa0,0.244995117
C30D,sa1,0.072265625
C30DE,sa0,0.065917969
C30DE,sa1,0.23828125
C30DE_IIII205_B,sa1,0.09375
C30DE_IIII374_B,sa1,0.017578125
C30DE_IIII386_D,sa1,0.007324219
C30DE_IIII402_C,sa1,0.03125
C30DE_IIII419_D,sa1,0.0078125
C30DE_IIII429_B,sa1,0.0234375
C30DE_IIII456_B,sa1,0.045898438
C30DE_IIII473_B,sa1,0.006347656
C30DE_IIII503_B,sa1,0.0234375
C30D_IIII329_C,sa1,0.0078125
C30D_IIII368_A,sa1,0.00390625
C31D,sa1,0.08203125
C33D,sa1,0.000488281
C34D,sa1,0.016113281
C35D,sa1,0.077636719
C36D,sa1,0.010742188
C37D,sa1,0.048339844
C38D,sa1,0.172363281
C39D,sa1,0.019042969
C40D,sa1,0.054199219
C41D,sa1,0.020019531
C42D,sa1,0.053710938
C43D,sa1,0.129394531
C44D,sa0,0.008789063
C44D,sa1,0.015625
C44D_IIII192_C,sa1,0.009765625
C44D_IIII218_B,sa1,0.005859375
C45D,sa1,0.0234375
C46D,sa1,0.05859375
C47D,sa1,0.0234375
C48D,sa1,0.16015625
C49D,sa0,0.328125
C49D,sa1,0.041015625
C49DE,sa0,0.037109375
C49DE,sa1,0.314941406
C49DE_C133D_A,sa0,0.004882813
C49DE_C143D_A,sa0,0.0078125
C49DE_C186D_A,sa0,0.0078125
C49DE_IIII145_A,sa1,0.025390625
C49DE_IIII212_B,sa1,0.037597656
C49DE_IIII266_B,sa1,0.109375
C49DE_IIII305_B,sa1,0.1015625
C49D_IIII219_A,sa1,0.00390625
C50D,sa1,0.005859375
C51D,sa1,0.01171875
C52D,sa1,0.043945313
C53D,sa1,0.10546875
C54D,sa1,0.05859375
C55D,sa1,0.031738281
C56D,sa1,0.00390625
C57D,sa1,0.03125
C58D,sa1,0.074707031
C59D,sa1,0.030273438
C60D,sa1,0.116455078
C63D,sa1,0.01171875
C65D,sa1,0.05078125
C67D,sa1,0.15234375
C69D,sa1,0.071289063
C70D,sa0,0.020996094
C70D,sa1,0.004394531
C70DE,sa0,0.00390625
C70D_IIII383_A,sa1,0.000976563
C71D,sa1,0.036132813
C72D,sa1,0.083984375
C73D,sa1,0.064453125
C74D,sa1,0.155273438
C75D,sa1,0.06640625
C76D,sa1,0.03515625
C77D,sa0,0.003417969
C77D,sa1,0.000488281
C77D_IIII194_C,sa1,0.000488281
C77D_IIII250_A,sa1,0.000488281
C78D,sa1,0.026367188
C79D,sa1,0.0234375
C80D,sa1,0.022949219
C81D,sa0,0.11328125
C81D,sa1,0.03515625
C81DE,sa0,0.03125
C81DE,sa1,0.109375
C81DE_IIII326_A,sa1,0.0859375
C81DE_IIII95_B,sa1,0.024414063
C81D_IIII392_A,sa1,0.00390625
C82D,sa1,0.01953125
C83D,sa0,0.029296875
C83D,sa1,0.009765625
C83DE,sa0,0.009765625
C83DE,sa1,0.029296875
C83DE_C111D_A,sa0,0.000976563
C83DE_II497_B,sa0,0.009765625
C83DE_IIII108_B,sa1,0.0234375
C83DE_IIII202_C,sa1,0.002929688
C83DE_IIII218_C,sa1,0.008789063
C83DE_IIII222_B,sa1,0.029296875
C83DE_IIII232_B,sa1,0.029296875
C83DE_IIII259_C,sa1,0.005859375
C83DE_IIII269_C,sa1,0.005859375
C83DE_IIII296_D,sa1,0.01171875
C83DE_IIII31_B,sa1,0.01171875
C83DE_IIII449_B,sa1,0.002929688
C83DE_IIII468_B,sa1,0.005859375
C83DE_IIII470_C,sa1,0.002929688
C83DE_IIII478_B,sa1,0.01171875
C83DE_IIII483_D,sa1,0.01171875
C83DE_IIII500_C,sa1,0.005859375
C83D_IIII130_B,sa1,0.001953125
C83D_IIII344_A,sa1,0.000976563
C84D,sa1,0.000976563
C85D,sa1,0.042480469
C86D,sa1,0.009765625
C87D,sa1,0.033203125
C88D,sa1,0.056640625
C89D,sa1,0.128417969
C90D,sa0,0.227783203
C90D,sa1,0.091796875
C90DE,sa0,0.091796875
C90DE,sa1,0.227539063
C90DE_C148D_A,sa0,0.03125
C90DE_C45D_A,sa0,0.00390625
C90DE_C54D_A,sa0,0.01953125
C90DE_IIII275_C,sa1,0.0390625
C90DE_IIII314_B,sa1,0.044921875
C90DE_IIII325_B,sa1,0.046875
C90DE_IIII368_B,sa1,0.0546875
C90DE_IIII371_B,sa1,0.03125
C90DE_IIII377_C,sa1,0.015625
C90DE_IIII432_B,sa1,0.02734375
C90DE_IIII446_B,sa1,0.013671875
C90DE_IIII457_C,sa1,0.010742188
C90D_IIII347_A,sa1,0.0078125
C91D,sa1,0.044921875
C92D,sa1,0.154541016
C93D,sa1,0.0078125
C95D,sa1,0.047851563
C96D,sa1,0.1015625
C97D,sa1,0.014160156
C98D,sa1,0.006835938
C99D,sa1,0.033691406
CLR,sa0,0.361328125
CLR,sa1,0.361328125
CLR_v13_D_0C_B,sa1,0.120605469
CLR_v13_D_1C_B,sa1,0.234375
CLR_v13_D_2C_B,sa1,0.192382813
CLR_v13_D_3C_B,sa1,0.184082031
CLR_v13_D_4C_B,sa1,0.191894531
CLR_v13_D_5C_B,sa1,0.151367188
II142,sa1,0.02734375
II254,sa1,0.010742188
II329,sa1,0.041015625
II368,sa1,0.0546875
II491,sa0,0.130859375
II497,sa0,0.08984375
II542,sa0,0.02734375
II548,sa1,0.240234375
II610,sa0,0.057128906
II642,sa1,0.041992188
IIII100,sa0,0.033203125
IIII101,sa0,0.017578125
IIII103,sa0,0.009277344
IIII104,sa0,0.003417969
IIII105,sa0,0.0234375
IIII106,sa0,0.017578125
IIII108,sa0,0.0078125
IIII109,sa0,0.015625
IIII111,sa0,0.01953125
IIII113,sa0,0.009765625
IIII114,sa0,0.003417969
IIII116,sa0,0.037597656
IIII117,sa0,0.013183594
IIII119,sa0,0.09375
IIII120,sa0,0.33203125
IIII123,sa0,0.15234375
IIII124,sa0,0.103515625
IIII126,sa0,0.0078125
IIII127,sa0,0.004882813
IIII128,sa0,0.012207031
IIII129,sa0,0.008789063
IIII130,sa0,0.005859375
IIII131,sa0,0.0078125
IIII133,sa0,0.0703125
IIII134,sa0,0.0234375
IIII136,sa0,0.0234375
IIII137,sa0,0.0234375
IIII140,sa0,0.037109375
IIII141,sa0,0.1796875
IIII142,sa0,0.279296875
IIII145,sa0,0.00390625
IIII146,sa0,0.0390625
IIII148,sa0,0.0078125
IIII149,sa0,0.015625
IIII151,sa0,0.01171875
IIII152,sa0,0.010742188
IIII153,sa0,0.034179688
IIII154,sa0,0.0078125
IIII156,sa0,0.005371094
IIII157,sa0,0.012695313
IIII158,sa0,0.015136719
IIII160,sa0,0.04296875
IIII161,sa0,0.0234375
IIII163,sa0,0.0078125
IIII164,sa0,0.020507813
IIII166,sa0,0.03515625
IIII167,sa0,0.01171875
IIII169,sa0,0.03515625
IIII170,sa0,0.0078125
IIII171,sa0,0.0078125
IIII173,sa0,0.0390625
IIII174,sa0,0.021484375
IIII175,sa0,0.01171875
IIII176,sa0,0.033203125
IIII177,sa0,0.017578125
IIII179,sa0,0.015625
IIII180,sa0,0.02734375
IIII182,sa0,0.03125
IIII183,sa0,0.0625
IIII185,sa0,0.004882813
IIII186,sa0,0.002929688
IIII188,sa0,0.0546875
IIII189,sa0,0.1015625
IIII191,sa0,0.00390625
IIII192,sa0,0.005859375
IIII194,sa0,0.003417969
IIII196,sa0,0.08984375
IIII197,sa0,0.0625
IIII199,sa0,0.01953125
IIII200,sa0,0.0078125
IIII202,sa0,0.000976563
IIII203,sa0,0.012207031
IIII205,sa0,0.0078125
IIII206,sa0,0.046875
IIII208,sa0,0.02734375
IIII209,sa0,0.05859375
IIII210,sa0,0.05859375
IIII212,sa0,0.00390625
IIII213,sa0,0.00390625
IIII215,sa0,0.026367188
IIII216,sa0,0.049804688
IIII218,sa0,0.002929688
IIII219,sa0,0.013183594
IIII220,sa0,0.01171875
IIII222,sa0,0.009765625
IIII223,sa0,0.025390625
IIII224,sa0,0.052734375
IIII226,sa0,0.03125
IIII227,sa0,0.0625
IIII229,sa0,0.015625
IIII230,sa0,0.0390625
IIII232,sa0,0.009765625
IIII233,sa0,0.052734375
IIII234,sa0,0.0234375
IIII236,sa0,0.015625
IIII237,sa0,0.0546875
IIII239,sa0,0.015625
IIII240,sa0,0.078125
IIII242,sa0,0.0625
IIII243,sa0,0.046875
IIII245,sa0,0.03125
IIII247,sa0,0.00390625
IIII248,sa0,0.01953125
IIII250,sa0,0.003417969
IIII251,sa0,0.001953125
IIII253,sa0,0.001953125
IIII254,sa0,0.005859375
IIII256,sa0,0.015625
IIII257,sa0,0.015625
IIII259,sa0,0.001953125
IIII260,sa0,0.00390625
IIII262,sa0,0.009765625
IIII263,sa0,0.002929688
IIII266,sa0,0.015625
IIII267,sa0,0.046875
IIII269,sa0,0.001953125
IIII27,sa0,0.09375
IIII270,sa0,0.002929688
IIII272,sa0,0.015625
IIII273,sa0,0.0390625
IIII275,sa0,0.00390625
IIII276,sa0,0.002441406
IIII278,sa0,0.015625
IIII28,sa0,0.0703125
IIII280,sa0,0.001464844
IIII281,sa0,0.003417969
IIII282,sa0,0.026367188
IIII284,sa0,0.015625
IIII285,sa0,0.0234375
IIII287,sa0,0.01171875
IIII288,sa0,0.01953125
IIII29,sa0,0.076171875
IIII291,sa0,0.005859375
IIII293,sa0,0.0078125
IIII294,sa0,0.0078125
IIII296,sa0,0.00390625
IIII297,sa0,0.017578125
IIII299,sa0,0.006835938
IIII300,sa0,0.001464844
IIII302,sa0,0.015625
IIII303,sa0,0.01171875
IIII305,sa0,0.015625
IIII306,sa0,0.046875
IIII308,sa0,0.004882813
IIII31,sa0,0.00390625
IIII310,sa0,0.000976563
IIII311,sa0,0.0078125
IIII314,sa0,0.03125
IIII315,sa0,0.05859375
IIII317,sa0,0.0078125
IIII318,sa0,0.01171875
IIII32,sa0,0.14453125
IIII320,sa0,0.010742188
IIII321,sa0,0.001464844
IIII323,sa0,0.01171875
IIII325,sa0,0.03125
IIII326,sa0,0.0234375
IIII328,sa0,0.00390625
IIII329,sa0,0.008300781
IIII332,sa0,0.03125
IIII333,sa0,0.015625
IIII335,sa0,0.03125
IIII336,sa0,0.046875
IIII338,sa0,0.0234375
IIII339,sa0,0.015625
IIII34,sa0,0.031494141
IIII341,sa0,0.0078125
IIII342,sa0,0.01171875
IIII344,sa0,0.002929688
IIII346,sa0,0.0078125
IIII347,sa0,0.023681641
IIII349,sa0,0.01171875
IIII35,sa0,0.03125
IIII350,sa0,0.046875
IIII352,sa0,0.03125
IIII354,sa0,0.046875
IIII356,sa0,0.005859375
IIII357,sa0,0.005859375
IIII36,sa0,0.090332031
IIII360,sa0,0.005859375
IIII362,sa0,0.015625
IIII363,sa0,0.018554688
IIII365,sa0,0.002929688
IIII366,sa0,0.000976563
IIII368,sa0,0.01171875
IIII369,sa0,0.015625
IIII371,sa0,0.015625
IIII372,sa0,0.046875
IIII374,sa0,0.0078125
IIII375,sa0,0.013671875
IIII377,sa0,0.0078125
IIII378,sa0,0.0078125
IIII38,sa0,0.113769531
IIII380,sa0,0.01171875
IIII381,sa0,0.01171875
IIII383,sa0,0.001953125
IIII384,sa0,0.005859375
IIII386,sa0,0.001464844
IIII387,sa0,0.001953125
IIII389,sa0,0.01171875
IIII39,sa0,0.016601563
IIII390,sa0,0.04296875
IIII392,sa0,0.01171875
IIII393,sa0,0.000976563
IIII395,sa0,0.03125
IIII396,sa0,0.015625
IIII398,sa0,0.0078125
IIII399,sa0,0.03125
IIII40,sa0,0.008789063
IIII402,sa0,0.00390625
IIII403,sa0,0.000976563
IIII405,sa0,0.005859375
IIII406,sa0,0.01171875
IIII409,sa0,0.03125
IIII41,sa0,0.015625
IIII412,sa0,0.00390625
IIII414,sa0,0.000976563
IIII415,sa0,0.000488281
IIII417,sa0,0.0078125
IIII419,sa0,0.00390625
IIII420,sa0,0.00390625
IIII423,sa0,0.001953125
IIII425,sa0,0.015625
IIII427,sa0,0.0078125
IIII429,sa0,0.0078125
IIII43,sa0,0.01171875
IIII430,sa0,0.000976563
IIII432,sa0,0.00390625
IIII433,sa0,0.005859375
IIII435,sa0,0.015625
IIII436,sa0,0.000976563
IIII438,sa0,0.0078125
IIII439,sa0,0.0078125
IIII44,sa0,0.004882813
IIII441,sa0,0.00390625
IIII442,sa0,0.005859375
IIII444,sa0,0.00390625
IIII446,sa0,0.00390625
IIII447,sa0,0.000976563
IIII449,sa0,0.000976563
IIII45,sa0,0.056640625
IIII450,sa0,0.000488281
IIII452,sa0,0.001953125
IIII453,sa0,0.001953125
IIII456,sa0,0.015625
IIII457,sa0,0.001953125
IIII46,sa0,0.0546875
IIII460,sa0,0.015625
IIII461,sa0,0.03125
IIII463,sa0,0.0078125
IIII464,sa0,0.0078125
IIII466,sa0,0.000488281
IIII468,sa0,0.001953125
IIII470,sa0,0.000976563
IIII471,sa0,0.001953125
IIII473,sa0,0.002929688
IIII475,sa0,0.001953125
IIII476,sa0,0.000976563
IIII478,sa0,0.00390625
IIII479,sa0,0.0078125
IIII48,sa0,0.07421875
IIII482,sa0,0.015625
IIII483,sa0,0.00390625
IIII485,sa0,0.00390625
IIII486,sa0,0.00390625
IIII489,sa0,0.005859375
IIII49,sa0,0.1796875
IIII491,sa0,0.0234375
IIII492,sa0,0.0234375
IIII494,sa0,0.002929688
IIII495,sa0,0.002929688
IIII497,sa0,0.005859375
IIII498,sa0,0.01171875
IIII500,sa0,0.001953125
IIII501,sa0,0.000488281
IIII503,sa0,0.0078125
IIII505,sa0,0.00390625
IIII506,sa0,0.004882813
IIII508,sa0,0.015625
IIII51,sa0,0.109375
IIII510,sa0,0.03125
IIII513,sa0,0.00390625
IIII514,sa0,0.0078125
IIII516,sa0,0.001953125
IIII518,sa0,0.0078125
IIII52,sa0,0.056640625
IIII520,sa0,0.001953125
IIII524,sa0,0.001953125
IIII528,sa0,0.017578125
IIII533,sa0,0.0078125
IIII534,sa0,0.015625
IIII537,sa0,0.001953125
IIII538,sa0,0.00390625
IIII54,sa0,0.044921875
IIII546,sa0,0.005859375
IIII547,sa0,0.01171875
IIII55,sa0,0.0234375
IIII554,sa0,0.015625
IIII555,sa0,0.0078125
IIII559,sa0,0.0078125
IIII560,sa0,0.006835938
IIII58,sa0,0.008789063
IIII59,sa0,0.0859375
IIII60,sa0,0.079101563
IIII62,sa0,0.004882813
IIII63,sa0,0.036621094
IIII64,sa0,0.00390625
IIII65,sa0,0.015625
IIII66,sa0,0.008789063
IIII68,sa0,0.05859375
IIII69,sa0,0.0625
IIII71,sa0,0.006347656
IIII72,sa0,0.067871094
IIII73,sa0,0.02734375
IIII75,sa0,0.021484375
IIII76,sa0,0.04296875
IIII78,sa0,0.32421875
IIII79,sa0,0.0859375
IIII80,sa0,0.09375
IIII82,sa0,0.0078125
IIII83,sa0,0.07421875
IIII84,sa0,0.04296875
IIII86,sa0,0.0234375
IIII87,sa0,0.103515625
IIII88,sa0,0.014648438
IIII89,sa0,0.05078125
IIII91,sa0,0.0625
IIII92,sa0,0.09375
IIII93,sa0,0.345703125
IIII95,sa0,0.008789063
IIII96,sa0,0.039550781
IIII97,sa0,0.005859375
IIII98,sa0,0.021484375
v0,sa0,0.013671875
v0,sa1,0.013671875
v0E,sa0,0.009277344
v0E,sa1,0.009277344
v0E_C77D_B,sa0,0.000488281
v0E_IIII300_A,sa1,0.001464844
v0E_IIII473_A,sa1,0.002929688
v0E_IIII82_A,sa1,0.0078125
v0_C142D_A,sa0,0.001953125
v0_C194D_A,sa0,0.0078125
v0_C70D_A,sa0,0.004394531
v0_IIII386_A,sa1,0.001464844
v0_IIII438_A,sa1,0.0078125
v0_IIII479_A,sa1,0.0078125
v0_IIII546_A,sa1,0.005859375
v0_IIII555_A,sa1,0.0078125
v1,sa0,0.052246094
v1,sa1,0.052246094
v10,sa0,0.358886719
v10,sa1,0.358886719
v10E,sa0,0.298217773
v10E,sa1,0.307617188
v10E_Av13_D_21B_C,sa1,0.01953125
v10E_C118D_B,sa0,0.0234375
v10E_C141D_A,sa0,0.065429688
v10E_C157D_A,sa0,0.0546875
v10E_C191D_A,sa0,0.037109375
v10E_C194D_B,sa0,0.013671875
v10E_C30D_A,sa0,0.082641602
v10E_C36D_B,sa0,0.010742188
v10E_IIII111_B,sa1,0.018066406
v10E_IIII127_B,sa1,0.008789063
v10E_IIII140_B,sa1,0.037109375
v10E_IIII148_B,sa1,0.002929688
v10E_IIII158_B,sa1,0.028320313
