fault name,cube num,test relation PI,BDD Var num
n2910gat,100,29,29
n2911gat,40,29,29
n2901gat,71,20,20
n3054gat,59,20,20
n3036gat,13,15,15
n2163gat,90,28,28
n2119gat,2,1,1
n1632gat,6,5,5
n1380gat,3,85,4
n2317gat,2,2,2
n1228gat,100,20,9
n72gat,100,45,37
n2343gat,2,104,1
n2533gat,100,46,35
n1543gat,13,9,9
n2155gat,100,46,26
n1075gat,100,29,29
n1282gat,100,41,8
n2640gat,2,56,1
n2622gat,2,91,1
n2542gat,100,91,32
n2217gat,100,62,48
n1480gat,100,62,56
n1551gat,3,11,11
n2407gat,100,43,25
n1552gat,6,10,10
n1921gat,29,33,29
n2452gat,13,130,10
n2262gat,26,36,34
n2190gat,26,35,34
n2137gat,57,56,33
n1615gat,38,78,17
n2056gat,63,24,24
n1831gat,2,102,3
n1462gat,100,31,31
n2245gat,100,21,21
n1453gat,4,3,3
n1119gat,68,37,6
n2209gat,40,20,20
n2047gat,4,4,4
n2146gat,21,20,17
n2281gat,26,20,18
n1840gat,60,16,16
n1218gat,33,13,3
n1219gat,33,13,3
n45gat,65,20,9
n53gat,100,20,9
n62gat,100,21,9
n63gat,100,21,9
n1237gat,100,20,9
n1236gat,100,20,9
n1056gat,100,20,9
n1057gat,100,20,9
n2524gat,2,8,8
n2353gat,100,104,58
n1191gat,65,34,3
n1192gat,65,34,3
n1327gat,65,34,2
n1209gat,65,34,3
n1273gat,33,34,8
n2415gat,17,56,3
n2416gat,17,56,3
n2605gat,9,61,3
n2550gat,17,61,3
n2551gat,17,61,3
n2614gat,17,61,6
n1156gat,100,62,29
n1372gat,100,62,25
n1309gat,100,62,26
n3028gat,2,81,5
n1705gat,100,81,49
n1704gat,100,81,48
n2128gat,31,21,21
n1444gat,100,87,42
n1561gat,65,30,29
n1651gat,37,30,19
n1408gat,100,62,35
n2406gat,100,34,31
n2352gat,86,20,19
n2731gat,57,34,30
n2290gat,100,62,56
n2443gat,100,104,52
n1633gat,100,42,34
n1507gat,100,74,40
n1174gat,4,15,9
n1147gat,100,76,48
n1084gat,100,73,39
n3019gat,11,15,14
n2650gat,5,24,4
n1471gat,9,17,13
n1255gat,4,16,10
n1281gat,68,39,11
n1991gat_n1666gat_C,2,10,10
n1988gat_n1734gat_A,37,30,19
n1658gat_n1657gat_C,10,30,19
n1568gat_n1729gat_C,19,30,19
n1988gat_n1860gat_A,3,10,9
n1391gat,2,10,10
n1616gat,72,30,18
n1553gat,45,30,19
n3092gat,100,61,57
n2722gat,100,61,58
n82gat,12,17,15
n1076gat,52,29,29
n1247gat,100,62,26
n1562gat,37,30,19
n1643gat,36,30,19
n2642gat,44,20,20
n1490gat,22,23,18
n1085gat,100,73,47
n73gat,9,16,14
n1499gat_n1555gat_C,10,30,19
n289gat_n288gat_A,21,61,11
n2470gat,2,1,1
n1606gat,3,2,2
n2560gat,2,1,1
n2632gat,2,1,1
n1845gat_n1895gat_A,66,35,33
n2988gat_n2147gat_A,13,20,19
n2199gat_n2396gat_A,31,19,15
n2199gat_n2198gat_A,35,19,19
n1625gat,2,5,5
n2093gat,2,1,1
n1935gat_n1759gat_B,100,31,30
n55gat,100,9,9
n1869gat_n1745gat_A,3,3,3
n754gat_n749gat_B,17,13,7
n484gat_n478gat_C,65,20,3
n485gat_n479gat_A,65,20,3
n856gat_n963gat_A,3,4,4
n938gat_n935gat_A,65,20,9
n592gat_n587gat_B,65,20,3
n691gat_n687gat_A,65,20,3
n574gat_n568gat_C,65,20,9
n852gat_n795gat_B,35,20,20
n2574gat_n2569gat_B,9,56,3
n873gat_n982gat_A,100,62,29
n1893gat_n1846gat_B,35,34,32
n1691gat_n1599gat_A,4,5,5
n2174gat,2,1,1
n1769gat_n1755gat_A,7,8,8
n875gat_n980gat_A,100,23,18
n873gat_n981gat_B,100,23,19
n741gat_n997gat_A,100,23,21
n1859gat_n1916gat_B,61,33,30
n1719gat_n1994gat_A,64,33,30
n3109gat,5,5,5
n3118gat,100,20,20
n3119gat,100,20,20
n3127gat,2,1,1
n3128gat,2,1,1
n3136gat,76,15,15
n3137gat,19,16,16
n3145gat,8,8,8
n3146gat,5,10,10
n2732gat,2,1,1
n2921gat,3,4,4
n3064gat,100,22,22
n3055gat,100,20,20
n3056gat,100,19,19
n2920gat,23,14,14
n3047gat,45,19,19
n3037gat,20,22,20
n2911gat,100,29,29
n2912gat,39,29,29
n2903gat,67,20,20
n1516gat,11,10,10
n2119gat,2,1,1
n1319gat,9,87,3
n1148gat,100,76,9
n1228gat,100,20,9
n2462gat,2,8,8
n2543gat,2,91,1
n2155gat,100,46,28
n1282gat,100,41,8
n1184gat,100,34,8
n2561gat,100,104,71
n2390gat,2,24,1
n2624gat,100,91,35
n2542gat,100,91,35
n1706gat,100,81,49
n1832gat,2,102,3
n1480gat,100,62,34
n1850gat,100,54,43
n2407gat,100,43,39
n1517gat,6,10,10
n1921gat,55,33,32
n1661gat,46,39,32
n1670gat,59,30,29
n1742gat,10,30,15
n2660gat,5,42,5
n2452gat,13,130,10
n3029gat,100,61,52
n2039gat,2,3,3
n2137gat,100,56,46
n2138gat,100,51,47
n2056gat,37,24,23
n1831gat,4,102,3
n2444gat,2,15,2
n1544gat,31,12,12
n1634gat,6,10,10
n1462gat,100,31,31
n2237gat,100,24,24
n2246gat,100,20,20
n1841gat,3,3,3
n2209gat,16,20,16
n2146gat,66,20,20
n2281gat,49,20,20
n1219gat,33,13,3
n2723gat,100,126,70
n46gat,65,20,9
n64gat,100,21,9
n63gat,100,21,9
n1229gat,65,20,3
n1237gat,100,20,9
n1238gat,100,20,9
n1057gat,100,20,9
n1058gat,100,20,9
n2831gat,2,8,8
n2353gat,100,104,61
n2354gat,100,104,76
n1193gat,65,34,3
n1192gat,65,34,3
n1274gat,65,34,8
n2570gat,9,56,3
n2416gat,17,56,3
n2417gat,17,56,3
n2606gat,17,61,3
n2551gat,17,61,3
n2552gat,17,61,3
n2615gat,17,61,6
n1157gat,100,62,45
n1373gat,100,62,20
n1418gat,100,62,47
n1355gat,100,62,44
n1436gat,100,62,50
n1733gat,31,33,30
n1580gat,92,33,31
n1444gat,100,87,42
n1724gat,60,30,29
n1652gat,64,30,29
n1409gat,100,62,47
n2255gat,6,15,15
n2264gat,9,15,15
n2282gat,43,20,20
n2345gat,85,43,35
n37gat,24,20,19
n2840gat,4,33,12
n2731gat,57,34,30
n2290gat,100,62,49
n2443gat,100,104,67
n1633gat,100,42,34
n1507gat,100,74,52
n1175gat,4,15,9
n1147gat,100,76,48
n1094gat,100,23,18
n1067gat,100,75,42
n1084gat,100,73,39
n2426gat,100,46,31
n2650gat,9,24,4
n2930gat,100,62,32
n1607gat,100,62,30
n1922gat,19,33,30
n1472gat,35,17,17
n1427gat,100,79,39
n1823gat,100,36,30
n1454gat,100,31,30
n1265gat,28,15,13
n1499gat_n1639gat_A,10,30,19
n1626gat,2,5,5
n2488gat_n2538gat_C,4,15,14
n3138gat,3,15,14
n2913gat,4,14,14
n1553gat,37,30,19
n1662gat,37,30,19
n1563gat,10,30,19
n1644gat,10,30,19
n1077gat,4,22,13
n1923gat,27,33,31
n92gat,100,37,35
n1963gat_n1958gat_A,89,37,36
n1625gat,6,5,5
n2093gat,2,1,1
n55gat,100,9,9
n953gat_n946gat_C,65,20,3
n954gat_n947gat_A,65,20,3
n951gat_n948gat_C,65,20,3
n952gat_n948gat_B,65,20,3
n856gat_n792gat_B,3,4,4
n939gat_n934gat_B,65,20,9
n498gat_n494gat_A,65,21,3
n691gat_n688gat_A,65,20,3
n575gat_n569gat_B,65,20,9
n786gat_n780gat_C,65,88,3
n785gat_n782gat_B,65,88,3
n559gat_n874gat_A,100,88,9
n2388gat_n2567gat_B,5,24,2
n2337gat,2,1,1
n823gat_n996gat_B,100,62,20
n1659gat_n1649gat_B,47,30,29
n1891gat_n1894gat_B,25,34,28
n1896gat_n1971gat_A,55,23,23
n2174gat,2,1,1
n2443gat_II4023_A,2,10,10
n1584gat_n1399gat_C,28,17,16
n1392gat,2,1,1
n741gat_n988gat_B,100,23,22
n926gat_n984gat_A,100,23,21
n3119gat,100,20,20
n3128gat,2,1,1
n3129gat,100,30,30
n3137gat,68,16,16
n3146gat,8,10,10
n3147gat,3,2,2
n2670gat,2,1,1
n2732gat,2,1,1
n2922gat,3,4,4
n2921gat,5,4,4
n3056gat,99,19,19
n3057gat,100,21,21
n3048gat,13,19,15
n3047gat,15,19,19
n2912gat,100,29,29
n2904gat,68,20,20
n2903gat,69,20,20
n2661gat,6,5,5
n1391gat,11,10,10
n1616gat,82,30,19
n1319gat,5,87,3
n1446gat,9,111,5
n2733gat,2,34,1
n1068gat,100,75,9
n1148gat,100,76,9
n2490gat,2,91,1
n2543gat,2,91,1
n2562gat,2,104,1
n1184gat,100,34,8
n2148gat,100,46,45
n1725gat,100,36,36
n2561gat,100,104,55
n2390gat,2,24,1
n2624gat,100,91,24
n2634gat,2,61,1
n2508gat,2,42,5
n2355gat,100,104,56
n1482gat,100,62,53
n2139gat,100,56,45
n1850gat,100,54,36
n1707gat,31,12,12
n1670gat,28,30,19
n2660gat,2,42,5
n2256gat,6,14,14
n2138gat,100,51,38
n2048gat,99,31,31
n2444gat,2,15,2
n1518gat,19,8,8
n2625gat,2,91,1
n2283gat,57,42,37
n2049gat,16,16,16
n2058gat,6,20,15
n82gat,100,17,17
n1842gat,89,17,17
n2715gat,100,126,72
n2724gat,41,47,14
n2723gat,100,126,82
n47gat,65,20,9
n56gat,65,21,9
n64gat,100,21,9
n65gat,100,21,9
n1238gat,100,20,9
n1059gat,100,20,9
n1058gat,100,20,9
n2354gat,100,104,65
n1185gat,33,34,3
n1193gat,65,34,3
n1194gat,65,34,3
n1383gat,65,34,2
n1274gat,65,34,8
n1275gat,65,34,8
n2571gat,9,56,3
n2418gat,17,56,3
n2417gat,17,56,3
n2580gat,17,56,6
n2606gat,17,61,3
n2607gat,17,61,3
n2552gat,17,61,3
n2553gat,17,61,3
n1158gat,100,62,29
n1437gat,100,62,50
n1374gat,100,62,26
n1248gat,100,62,26
n1590gat,100,79,52
n1356gat,100,62,46
n1572gat,82,33,30
n1581gat,43,33,31
n1554gat,37,30,19
n1671gat,100,30,29
n1653gat,10,30,19
n2265gat,5,15,15
n2345gat,91,43,39
n2346gat,99,36,32
n2193gat,15,23,19
n2643gat,24,20,20
n38gat,76,20,19
n1490gat,78,23,18
n2840gat,4,33,12
n1338gat,9,17,13
n1806gat,4,17,8
n1455gat,19,17,13
n1293gat,100,76,46
n1257gat,4,15,9
n1085gat,100,73,47
n1067gat,100,75,42
n1095gat,18,34,13
n1176gat,4,30,9
n2427gat,100,46,26
n2652gat,9,24,2
n2616gat,33,61,3
n1608gat,100,79,52
n1428gat,100,62,47
n2850gat,100,56,42
n1635gat,100,42,34
n1743gat,87,33,31
n1427gat,100,79,40
n1823gat,100,36,30
n2931gat,100,24,21
n1266gat,31,15,13
n1284gat,100,34,25
n1986gat_n1666gat_A,2,10,10
n1769gat_n1756gat_B,2,10,10
n2353gat_II4024_A,2,10,10
n2290gat_II4023_B,2,10,10
n2784gat_n89gat_B,100,27,27
n2905gat,4,14,14
n1915gat,2,10,10
n1645gat,46,30,19
n2482gat,100,46,38
n1681gat,53,31,18
n1159gat,100,62,29
n1258gat,100,62,25
n1609gat,2,111,5
n1924gat,19,33,31
n92gat,100,37,35
n1717gat,2,5,5
n1673gat_n1798gat_B,47,33,32
n1626gat,6,5,5
n1891gat_n1895gat_B,49,35,28
n755gat_n749gat_C,17,13,7
n953gat_n947gat_C,65,20,3
n954gat_n948gat_A,65,20,3
n498gat_n495gat_A,65,21,3
n593gat_n587gat_C,65,20,3
n592gat_n589gat_B,65,20,3
n692gat_n687gat_B,65,20,3
n787gat_n781gat_B,65,88,3
n2575gat_n2569gat_C,9,56,3
n2337gat,2,1,1
n1958gat_n1847gat_A,31,34,32
n1392gat,2,1,1
n741gat_n989gat_B,100,24,22
n741gat_n998gat_B,100,23,21
n683gat_n886gat_A,100,23,18
n1816gat,3,2,2
n3129gat,100,30,30
n3138gat,15,15,14
n3139gat,92,31,31
n3147gat,2,2,2
n3148gat,2,1,1
n2670gat,2,1,1
n2914gat,3,4,4
n2922gat,5,4,4
n2913gat,30,14,14
n3057gat,100,21,21
n3058gat,100,20,20
n3048gat,14,19,15
n3049gat,49,19,19
n2904gat,71,20,20
n1636gat,3,8,8
n2661gat,2,5,5
n2590gat,2,1,1
n1564gat,56,19,19
n2671gat,2,31,1
n1627gat,5,12,5
n1447gat,100,85,49
n2725gat,65,126,1
n1446gat,5,111,5
n2733gat,2,34,1
n1068gat,100,75,9
n1294gat,100,76,9
n2490gat,2,91,1
n2626gat,2,91,1
n2562gat,2,104,1
n2148gat,100,46,45
n1725gat,34,36,16
n2634gat,2,61,1
n2356gat,100,92,53
n2355gat,100,104,67
n1482gat,100,62,34
n1528gat,100,62,55
n1591gat,100,62,50
n2139gat,100,56,46
n1735gat,31,13,13
n2347gat,100,44,31
n1662gat,19,30,19
n2257gat,6,15,15
n2266gat,13,15,13
n2059gat,100,56,48
n1960gat,48,31,31
n2437gat,69,23,22
n2644gat,67,20,20
n2158gat,100,61,30
n2625gat,2,91,1
n2283gat,81,42,37
n1339gat,100,36,30
n1690gat,6,15,4
n2184gat,11,14,13
n1384gat,3,2,1
n2049gat,16,16,16
n2328gat,47,20,20
n2058gat,62,20,20
n2716gat,100,45,37
n2715gat,100,126,73
n2724gat,41,47,14
n48gat,100,20,9
n57gat,65,21,9
n65gat,100,21,9
n1059gat,100,20,9
n2860gat,100,66,48
n2284gat,100,92,62
n1762gat,2,115,3
n2428gat,100,46,26
n1186gat,33,34,3
n1194gat,65,34,3
n1275gat,65,34,8
n1276gat,65,34,8
n1195gat,100,22,9
n1285gat,100,22,9
n2572gat,9,56,3
n2418gat,17,56,3
n2419gat,17,56,3
n2581gat,17,56,6
n2338gat,2,24,1
n2607gat,17,61,3
n2608gat,17,61,3
n2554gat,17,61,3
n2553gat,17,61,3
n1348gat,100,62,50
n1366gat,100,62,52
n1249gat,100,62,20
n1590gat,100,79,52
n1357gat,100,62,26
n1573gat,46,30,19
n1654gat,10,30,15
n1393gat,100,79,47
n2185gat,11,16,15
n2248gat,5,15,15
n2392gat,63,43,36
n2149gat,11,20,17
n2346gat,100,36,34
n2193gat,52,23,22
n39gat,100,23,21
n2842gat,4,34,12
n2734gat,57,33,30
n2167gat,5,10,10
n1293gat,100,76,39
n1267gat,4,15,9
n1375gat,4,15,9
n1087gat,6,16,11
n1177gat,10,15,13
n1096gat,10,34,13
n93gat,100,37,36
n2239gat,21,15,14
n2652gat,9,24,2
n2617gat,17,61,6
n2616gat,33,61,3
n1608gat,100,79,50
n2850gat,100,56,42
n1635gat,100,42,34
n1519gat,100,36,29
n1284gat,100,34,17
n1499gat_n1558gat_C,10,30,19
n1700gat_II2813_C,2,8,5
n1797gat_n1729gat_B,19,30,19
n2214gat_II1723_C,100,66,28
n1703gat_II2812_A,2,8,5
n1447gat,3,85,4
n1736gat,68,30,29
n2644gat,67,20,20
n2537gat,10,15,14
n1862gat,7,10,9
n85gat,9,16,14
n1358gat,100,62,26
n1574gat,37,30,19
n1646gat,10,30,19
n1727gat,64,30,29
n2564gat,45,20,20
n93gat,100,37,37
n1988gat_n1861gat_C,7,13,13
n1717gat,6,5,5
n1797gat_n1657gat_B,27,30,29
n2199gat_n2498gat_A,25,19,19
n949gat_n945gat_A,65,20,3
n939gat_n936gat_B,65,20,9
n499gat_n494gat_B,65,21,3
n594gat_n588gat_B,65,20,3
n576gat_n569gat_C,65,20,9
n1893gat_n1967gat_A,35,24,24
n1963gat_n1959gat_B,17,31,23
n1869gat_n1586gat_A,2,10,10
n725gat_n998gat_A,100,23,18
n159gat_n987gat_B,100,23,18
n419gat_n899gat_A,28,15,14
n1816gat,2,2,2
n1769gat_n1757gat_B,2,3,3
n3139gat,100,31,30
n3148gat,2,1,1
n3149gat,4,3,3
n2735gat,2,1,1
n2914gat,5,4,4
n2905gat,27,14,14
n3059gat,100,23,23
n3058gat,100,20,20
n3049gat,16,19,19
n2915gat,70,20,20
n1781gat,9,5,5
n1565gat,2,10,10
n1636gat,8,8,8
n2590gat,2,1,1
n2456gat,2,1,1
n1564gat,45,19,19
n1915gat,11,10,10
n2671gat,2,31,1
n1645gat,37,30,19
n1628gat,5,12,5
n2861gat,65,126,1
n2717gat,65,126,1
n2725gat,65,126,1
n2906gat,65,13,2
n1448gat,36,116,17
n1294gat,100,76,9
n2780gat,2,31,1
n2429gat,100,46,32
n2626gat,2,91,1
n2339gat,2,24,1
n2285gat,100,62,58
n2356gat,100,92,59
n1880gat,100,116,55
n1528gat,100,62,40
n1591gat,100,62,33
n1735gat,7,13,13
n2347gat,100,44,35
n1790gat,82,30,19
n1718gat,11,8,8
n1394gat,2,79,1
n2168gat,92,28,28
n2266gat,13,15,13
n2059gat,100,56,35
n2437gat,87,23,22
n1961gat,18,31,23
n1754gat,2,2,2
n2159gat,100,56,26
n2186gat,100,61,36
n2482gat,100,46,22
n1681gat,100,31,31
n1690gat,3,15,4
n2384gat,100,20,20
n1871gat,2,127,1
n2716gat,100,45,25
n2726gat,100,126,91
n48gat,100,20,9
n49gat,100,20,9
n58gat,65,21,9
n2860gat,100,66,45
n2474gat,2,8,8
n2284gat,100,92,60
n1187gat,33,34,3
n1276gat,65,34,8
n1277gat,65,34,8
n1196gat,100,22,9
n2573gat,17,56,3
n2419gat,17,56,3
n2338gat,2,24,1
n2608gat,17,61,3
n2609gat,17,61,3
n2546gat,9,61,3
n2554gat,17,61,3
n2555gat,17,61,3
n1439gat,100,62,47
n1367gat,100,62,26
n2078gat,100,33,32
n2591gat,100,62,38
n1393gat,100,79,45
n2185gat,21,16,15
n2249gat,5,15,15
n1709gat,28,34,29
n2438gat,100,44,38
n2392gat,74,43,37
n1970gat,23,23,21
n2393gat,100,46,41
n2852gat,4,34,12
n2842gat,4,34,12
n2672gat,58,38,30
n2734gat,57,33,30
n1691gat,8,120,10
n1466gat,100,31,27
n1079gat,100,79,50
n1178gat,10,15,13
n1088gat,100,23,19
n1097gat,8,16,10
n67gat,94,16,16
n76gat,100,17,17
n2239gat,21,15,14
n2582gat,33,56,3
n2617gat,33,61,6
n1592gat,100,62,41
n1609gat,100,111,30
n1673gat,3,115,3
n1925gat,31,33,31
n1916gat,19,33,30
n1519gat,100,36,35
n2960gat,7,15,10
n2942gat,7,15,10
n1259gat,28,15,13
n2214gat_II1734_B,100,46,40
n683gat_n887gat_B,100,62,20
n1665gat,4,10,10
n1736gat,37,30,19
n1368gat,100,62,20
n2079gat,11,21,21
n2178gat,11,21,21
n1566gat,37,30,19
n1647gat,10,30,19
n1683gat,4,10,10
n77gat,11,17,15
n1917gat,19,33,30
n2628gat,2,1,1
n1702gat_II2813_B,2,8,5
n1778gat_n1695gat_B,2,5,5
n1986gat_n1667gat_B,28,30,19
n2646gat,9,4,4
n949gat_n946gat_A,65,20,3
n693gat_n687gat_C,65,20,3
n692gat_n689gat_B,65,20,3
n788gat_n781gat_C,65,88,3
n789gat_n782gat_A,65,88,3
n786gat_n783gat_C,65,88,3
n787gat_n783gat_B,65,88,3
n2493gat,2,1,1
n2268gat,2,1,1
n1886gat_n1957gat_A,17,31,23
n882gat_n994gat_B,100,24,18
n419gat_n999gat_A,27,15,14
n393gat_n997gat_B,100,23,18
n926gat_n986gat_B,100,23,20
n894gat_n893gat_A,22,15,13
n1773gat,2,1,1
n3149gat,2,3,3
n2790gat,2,1,1
n2735gat,2,1,1
n2673gat,2,1,1
n1827gat,2,2,2
n3059gat,100,23,23
n2952gat,41,29,29
n2907gat,38,29,29
n2915gat,67,20,20
n1781gat,6,5,5
n1565gat,11,10,10
n1836gat,5,5,5
n2456gat,2,1,1
n1593gat,2,6,6
n2861gat,65,126,1
n2717gat,65,126,1
n2906gat,65,13,2
n1448gat,4,116,5
n2736gat,2,33,1
n2780gat,2,31,1
n2466gat,2,8,8
n2970gat,100,34,8
n1197gat,100,22,9
n2339gat,2,24,1
n2285gat,100,62,41
n1880gat,100,116,55
n2394gat,100,46,33
n1790gat,100,30,29
n2592gat,2,62,1
n1394gat,2,79,1
n2259gat,24,20,20
n1961gat,100,31,31
n2448gat,2,15,1
n2169gat,100,37,37
n1791gat,25,10,10
n1782gat,100,22,22
n2385gat,100,13,12
n2187gat,6,15,15
n1890gat,3,2,1
n1871gat,2,127,1
n85gat,100,16,16
n2726gat,100,126,98
n2727gat,41,54,14
n49gat,100,20,9
n59gat,65,21,9
n1692gat,2,115,3
n2286gat,100,46,46
n1188gat,33,34,3
n1278gat,65,34,8
n1277gat,65,34,8
n1287gat,100,22,9
n1269gat,100,34,8
n2718gat,4,30,12
n2573gat,17,56,3
n2574gat,17,56,3
n2609gat,17,61,3
n2547gat,9,61,3
n2555gat,17,61,3
n1449gat,100,62,56
n1359gat,100,62,26
n2078gat,91,33,32
n1656gat,53,30,29
n1629gat,100,34,33
n1845gat,100,35,34
n2438gat,67,44,38
n2439gat,100,47,40
n2349gat,21,20,18
n1962gat,9,23,15
n1971gat,23,23,21
n2393gat,93,46,43
n2565gat,43,20,20
n2844gat,4,31,12
n2852gat,4,34,12
n2781gat,54,34,30
n2672gat,57,38,30
n1691gat,8,120,10
n1755gat,7,8,8
n1674gat,13,17,14
n1467gat,100,31,28
n1079gat,100,79,50
n1098gat,100,23,17
n1089gat,4,16,10
n1179gat,100,23,22
n1935gat,100,36,35
n2583gat,17,56,6
n2582gat,33,56,3
n2619gat,33,61,3
n1673gat,3,115,3
n2664gat,100,42,30
n1926gat,37,33,31
n1719gat,100,42,20
n2097gat,9,33,12
n1476gat,100,68,35
n1818gat,100,31,29
n1584gat,100,93,60
n1458gat,100,31,31
n2862gat,100,77,51
n2943gat,7,16,10
n2961gat,7,15,10
n1988gat_n1576gat_B,24,39,36
n875gat_n877gat_A,100,62,29
n1567gat,2,10,10
n1738gat,11,33,30
n1495gat,29,33,30
n78gat,100,40,33
n1369gat,100,62,26
n1972gat,55,23,23
n2566gat,24,20,20
n1459gat,27,31,17
n1594gat,100,31,21
n1604gat_II1734_A,100,46,26
n2638gat,2,1,1
n2557gat,2,1,1
n2628gat,2,1,1
n1986gat_n1865gat_C,7,13,13
n2646gat,9,4,4
n2971gat,100,9,9
n499gat_n496gat_B,65,21,3
n595gat_n588gat_C,65,20,3
n596gat_n589gat_A,65,20,3
n694gat_n688gat_B,65,20,3
n788gat_n782gat_C,65,88,3
n789gat_n783gat_A,65,88,3
n2493gat,2,1,1
n2389gat_n2499gat_A,5,24,2
n2268gat,2,1,1
n1704gat_II2812_B,2,8,5
n1968gat_n1894gat_A,58,34,33
n1633gat_II4144_A,2,5,5
n1869gat_n1686gat_B,100,31,31
n983gat_n984gat_B,100,23,19
n579gat_n885gat_A,100,23,18
n679gat_n991gat_B,3,16,10
n1773gat,2,1,1
n2782gat,2,1,1
n2790gat,2,1,1
n2673gat,2,1,1
n1827gat,3,2,2
n2952gat,100,29,29
n2907gat,100,29,29
n2908gat,42,29,29
n2890gat,68,20,20
n1945gat,3,5,4
n1836gat,6,5,5
n1927gat,31,19,19
n1593gat,7,6,6
n2728gat,65,126,1
n1819gat,2,36,2
n2736gat,2,33,1
n2674gat,2,38,1
n2791gat,2,33,1
n1693gat,3,115,3
n2970gat,100,34,8
n1197gat,100,22,9
n2629gat,100,91,44
n2656gat,2,42,5
n1765gat,2,102,3
n2359gat,100,62,44
n1783gat,100,42,38
n2394gat,100,46,40
n1864gat,29,33,30
n1576gat,21,39,30
n1918gat,58,42,36
n2592gat,2,62,1
n1954gat,19,31,22
n1855gat,21,33,12
n2448gat,2,15,1
n2169gat,100,37,37
n2980gat,37,17,17
n2187gat,16,15,15
n2727gat,41,54,14
n2863gat,100,66,44
n2286gat,100,46,24
n1189gat,65,34,3
n1278gat,65,34,8
n1279gat,65,34,8
n1269gat,100,34,8
n2718gat,4,30,12
n2836gat,4,30,12
n2574gat,17,56,3
n2575gat,17,56,3
n2494gat,5,24,2
n2269gat,2,24,1
n2647gat,5,24,4
n2548gat,9,61,3
n1378gat,100,62,26
n1990gat,100,21,21
n1648gat,73,30,29
n1846gat,25,34,28
n1845gat,100,35,32
n1891gat,97,37,34
n2439gat,93,47,41
n1963gat,98,37,36
n2844gat,4,31,12
n2781gat,54,34,30
n1747gat,61,17,14
n1468gat,100,31,30
n1396gat,100,74,44
n1684gat,100,31,31
n1774gat,100,33,33
n1477gat,100,31,31
n1297gat,100,83,47
n1099gat,100,23,18
n1179gat,100,23,22
n1935gat,100,36,36
n1828gat,100,36,35
n2583gat,33,56,6
n2619gat,33,61,3
n1792gat,15,13,13
n1387gat,100,62,49
n2664gat,100,42,33
n1719gat,100,42,38
n1476gat,100,68,54
n1584gat,100,93,53
n2854gat,100,77,47
n2862gat,100,77,51
n2944gat,19,34,13
n2962gat,7,30,10
n1698gat_n1696gat_B,5,12,12
n2284gat_II4024_B,2,10,10
n1989gat_n1863gat_C,3,10,9
n2353gat_II1723_B,100,66,42
n2354gat_II1723_A,100,66,51
n1559gat,46,30,19
n2359gat,100,62,32
n1568gat,36,30,19
n1658gat,73,30,19
n2666gat,100,62,36
n1649gat,10,30,19
n1469gat,29,36,20
n2638gat,2,1,1
n2557gat,2,1,1
n1989gat_n1865gat_A,7,13,13
n1886gat_n1958gat_B,65,37,30
n2971gat,100,9,9
n595gat_n589gat_C,65,20,3
