name,type,cube,rel,var,den,n=10,n=100,n=1000,n=10000,n=100000
Y_4_II127_2_C,sa0,3,0,6,1.0937500000e-01,6.8598614042e-01,9.9999067845e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_4_II41_A,sa0,5,0,10,3.0273437500e-02,2.6465199493e-01,9.5376943666e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_1_II44_A,sa0,1,0,3,1.2500000000e-01,7.3692442384e-01,9.9999841217e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_2_II43_A,sa0,3,0,6,1.0937500000e-01,6.8598614042e-01,9.9999067845e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_3_II42_A,sa0,1,0,5,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_5,sa1,390,0,15,7.9589843750e-02,5.6367105661e-01,9.9974988472e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_6,sa0,325,0,14,7.8125000000e-02,5.5667688454e-01,9.9970677313e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II500_1,sa0,1,0,8,3.9062500000e-03,3.8382958384e-02,3.2388353489e-01,9.8003749113e-01,1.0000000000e+00,1.0000000000e+00
II1_1,sa0,4,0,9,2.9296875000e-02,2.5721302854e-01,9.4887388698e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II131_1,sa0,2,0,5,9.3750000000e-02,6.2633691437e-01,9.9994693576e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_4_II127_2_C,sa1,3,0,6,1.0937500000e-01,6.8598614042e-01,9.9999067845e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_4_II41_A,sa1,5,0,10,3.0273437500e-02,2.6465199493e-01,9.5376943666e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_1_II44_A,sa1,1,0,3,1.2500000000e-01,7.3692442384e-01,9.9999841217e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_2_II43_A,sa1,3,0,6,1.0937500000e-01,6.8598614042e-01,9.9999067845e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_3_II42_A,sa1,1,0,5,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_6,sa1,198,0,14,7.8125000000e-02,5.5667688454e-01,9.9970677313e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_7,sa0,197,0,13,7.7148437500e-02,5.5195821510e-01,9.9967402433e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II500_1,sa1,11,0,18,6.2548828125e-01,9.9994571822e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II131_2,sa0,1,0,5,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II1_1,sa1,16,0,9,4.3945312500e-01,9.9693719493e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II500_2,sa0,1,0,5,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II131_1,sa1,5,0,5,8.7500000000e-01,9.9999999907e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_8,sa0,5,0,12,7.6660156250e-02,5.4958197141e-01,9.9965631731e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_7,sa1,70,0,13,7.7148437500e-02,5.5195821510e-01,9.9967402433e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II131_2,sa1,5,0,5,8.7500000000e-01,9.9999999907e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II500_2,sa1,10,0,18,6.2548828125e-01,9.9994571822e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II41_II1_1_A,sa0,4,0,9,2.9296875000e-02,2.5721302854e-01,9.4887388698e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
X_II314_A,sa0,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
X_II350_A,sa0,7,0,17,6.2011718750e-02,4.7280154897e-01,9.9834140155e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_8,sa1,5,0,12,7.6660156250e-02,5.4958197141e-01,9.9965631731e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II512_1,sa0,1,0,9,1.9531250000e-03,1.9360479644e-02,1.7757952141e-01,8.5844045473e-01,9.9999999677e-01,1.0000000000e+00
II113_II100_B,sa0,3,0,6,1.0937500000e-01,6.8598614042e-01,9.9999067845e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II41_II1_1_A,sa1,4,0,9,2.9296875000e-02,2.5721302854e-01,9.4887388698e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
X_II314_A,sa1,1,0,3,1.2500000000e-01,7.3692442384e-01,9.9999841217e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_1_II92_B,sa0,5,0,10,4.5898437500e-02,3.7490493422e-01,9.9089120962e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_2_II92_A,sa0,5,0,10,4.5898437500e-02,3.7490493422e-01,9.9089120962e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
X_II350_A,sa1,7,0,16,1.2402343750e-01,7.3397352243e-01,9.9999822479e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II512_2,sa0,1,0,10,9.7656250000e-04,9.7228212237e-03,9.3082656509e-02,6.2357620194e-01,9.9994288230e-01,1.0000000000e+00
II512_1,sa1,11,0,18,6.2548828125e-01,9.9994571822e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II504_1,sa0,1,0,6,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
II135_1,sa0,4,0,4,8.7500000000e-01,9.9999999907e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II113_II100_B,sa1,6,0,6,3.2812500000e-01,9.8125502714e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_1_II92_B,sa1,5,0,10,4.5898437500e-02,3.7490493422e-01,9.9089120962e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_2_II92_A,sa1,5,0,10,4.5898437500e-02,3.7490493422e-01,9.9089120962e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_7_II283_1_C,sa0,2,0,8,1.1718750000e-02,1.1119690418e-01,6.9235094430e-01,9.9999240451e-01,1.0000000000e+00,1.0000000000e+00
II512_2,sa1,10,0,18,6.2548828125e-01,9.9994571822e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II504_2,sa0,1,0,7,7.8125000000e-03,7.5434863403e-02,5.4356900259e-01,9.9960757984e-01,1.0000000000e+00,1.0000000000e+00
II127_1,sa0,1,0,6,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
II504_1,sa1,11,0,18,6.2548828125e-01,9.9994571822e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II307_1,sa0,4,0,14,7.3242187500e-03,7.0874748554e-02,5.2055076123e-01,9.9935816066e-01,1.0000000000e+00,1.0000000000e+00
II135_2,sa0,4,0,4,8.7500000000e-01,9.9999999907e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II135_1,sa1,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_7_II283_1_C,sa1,2,0,8,1.1718750000e-02,1.1119690418e-01,6.9235094430e-01,9.9999240451e-01,1.0000000000e+00,1.0000000000e+00
II504_2,sa1,10,0,18,6.2548828125e-01,9.9994571822e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II127_1,sa1,6,0,6,8.7500000000e-01,9.9999999907e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II307_1,sa1,16,0,17,1.4282226563e-01,7.8585456790e-01,9.9999979719e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II135_2,sa1,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II127_2,sa0,3,0,6,1.0937500000e-01,6.8598614042e-01,9.9999067845e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II193_W_A,sa0,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_6_II287_2_A,sa0,1,0,7,7.8125000000e-03,7.5434863403e-02,5.4356900259e-01,9.9960757984e-01,1.0000000000e+00,1.0000000000e+00
Clear_II265_A,sa0,4,0,9,2.9296875000e-02,2.5721302854e-01,9.4887388698e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II127_2,sa1,6,0,6,8.7500000000e-01,9.9999999907e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II113_II104_B,sa0,1,0,3,1.2500000000e-01,7.3692442384e-01,9.9999841217e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II41_II127_1_A,sa0,1,0,6,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
II193_W_A,sa1,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II40,sa0,4,0,6,2.3437500000e-01,9.3079124123e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_6_II287_2_A,sa1,1,0,7,7.8125000000e-03,7.5434863403e-02,5.4356900259e-01,9.9960757984e-01,1.0000000000e+00,1.0000000000e+00
Clear_II265_A,sa1,4,0,9,2.9296875000e-02,2.5721302854e-01,9.4887388698e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II283_1,sa0,2,0,8,1.1718750000e-02,1.1119690418e-01,6.9235094430e-01,9.9999240451e-01,1.0000000000e+00,1.0000000000e+00
II248_W_B,sa0,3,0,4,4.3750000000e-01,9.9682878806e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II100_II109_B,sa0,6,0,6,3.2812500000e-01,9.8125502714e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II50,sa0,5,0,10,3.0273437500e-02,2.6465199493e-01,9.5376943666e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II113_II104_B,sa1,2,0,3,3.7500000000e-01,9.9090505298e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II41_II127_1_A,sa1,1,0,6,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
II43_II135_1_A,sa0,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II40,sa1,4,0,6,2.3437500000e-01,9.3079124123e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II41,sa0,5,0,10,3.0273437500e-02,2.6465199493e-01,9.5376943666e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II508_1,sa0,9,0,18,1.2548828125e-01,7.3838879846e-01,9.9999849837e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_3_II96_A,sa0,5,0,10,3.0273437500e-02,2.6465199493e-01,9.5376943666e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_7_II279_1_B,sa0,1,0,9,1.9531250000e-03,1.9360479644e-02,1.7757952141e-01,8.5844045473e-01,9.9999999677e-01,1.0000000000e+00
II283_2,sa0,1,0,8,3.9062500000e-03,3.8382958384e-02,3.2388353489e-01,9.8003749113e-01,1.0000000000e+00,1.0000000000e+00
II283_1,sa1,8,0,8,9.8437500000e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II248_W_B,sa1,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II100_II109_B,sa1,2,0,6,4.6875000000e-02,3.8127365236e-01,9.9177783661e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II50,sa1,10,0,10,9.0820312500e-02,6.1408003795e-01,9.9992672220e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II508_2,sa0,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II92_II131_1_B,sa0,2,0,5,9.3750000000e-02,6.2633691437e-01,9.9994693576e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II43_II135_1_A,sa1,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II41,sa1,5,0,10,3.0273437500e-02,2.6465199493e-01,9.5376943666e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II42,sa0,1,0,5,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II508_1,sa1,10,0,18,6.2548828125e-01,9.9994571822e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_3_II96_A,sa1,5,0,10,3.0273437500e-02,2.6465199493e-01,9.5376943666e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_7_II279_1_B,sa1,1,0,9,1.9531250000e-03,1.9360479644e-02,1.7757952141e-01,8.5844045473e-01,9.9999999677e-01,1.0000000000e+00
II283_2,sa1,8,0,8,9.8437500000e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II508_2,sa1,10,0,18,6.2548828125e-01,9.9994571822e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II92_II131_1_B,sa1,1,0,5,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II244_II202_A,sa0,2,0,4,1.8750000000e-01,8.7461843207e-01,9.9999999904e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II43,sa0,3,0,6,1.0937500000e-01,6.8598614042e-01,9.9999067845e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II42,sa1,1,0,5,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II104_II6_A,sa0,3,0,3,8.7500000000e-01,9.9999999907e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II244_II202_A,sa1,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II44,sa0,1,0,3,1.2500000000e-01,7.3692442384e-01,9.9999841217e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II43,sa1,3,0,6,1.0937500000e-01,6.8598614042e-01,9.9999067845e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_8_II279_2_C,sa0,3,0,9,1.3671875000e-02,1.2860679022e-01,7.4756956582e-01,9.9999894945e-01,1.0000000000e+00,1.0000000000e+00
II287_1,sa0,7,0,7,9.8437500000e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II104_II6_A,sa1,1,0,3,1.2500000000e-01,7.3692442384e-01,9.9999841217e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II44,sa1,1,0,3,1.2500000000e-01,7.3692442384e-01,9.9999841217e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_8_II279_2_C,sa1,3,0,9,1.3671875000e-02,1.2860679022e-01,7.4756956582e-01,9.9999894945e-01,1.0000000000e+00,1.0000000000e+00
II279_1,sa0,1,0,9,1.9531250000e-03,1.9360479644e-02,1.7757952141e-01,8.5844045473e-01,9.9999999677e-01,1.0000000000e+00
II287_1,sa1,1,0,7,7.8125000000e-03,7.5434863403e-02,5.4356900259e-01,9.9960757984e-01,1.0000000000e+00,1.0000000000e+00
II287_2,sa0,7,0,7,9.8437500000e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II46,sa0,6,0,6,8.7500000000e-01,9.9999999907e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II96_II1_1_B,sa0,12,0,9,2.0507812500e-01,8.9925013277e-01,9.9999999989e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II279_1,sa1,9,0,9,9.8437500000e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II287_2,sa1,1,0,7,7.8125000000e-03,7.5434863403e-02,5.4356900259e-01,9.9960757984e-01,1.0000000000e+00,1.0000000000e+00
II279_2,sa0,3,0,9,1.3671875000e-02,1.2860679022e-01,7.4756956582e-01,9.9999894945e-01,1.0000000000e+00,1.0000000000e+00
II47,sa0,5,0,5,8.7500000000e-01,9.9999999907e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II46,sa1,4,0,6,1.2500000000e-01,7.3692442384e-01,9.9999841217e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II96_II1_1_B,sa1,4,0,9,2.9296875000e-02,2.5721302854e-01,9.4887388698e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II92,sa0,10,0,10,1.3769531250e-01,7.7269579533e-01,9.9999963181e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II497_1,sa0,1,0,11,4.8828125000e-04,4.8720976218e-03,4.7666556569e-02,3.8639292465e-01,9.9243335102e-01,1.0000000000e+00
II252_II261_B,sa0,12,0,9,3.6914062500e-01,9.9001551627e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II279_2,sa1,9,0,9,9.8437500000e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II47,sa1,3,0,5,1.2500000000e-01,7.3692442384e-01,9.9999841217e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II92,sa1,5,0,10,4.5898437500e-02,3.7490493422e-01,9.9089120962e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II497_1,sa1,11,0,18,6.2548828125e-01,9.9994571822e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II252_II261_B,sa1,2,0,9,5.8593750000e-03,5.7072691692e-02,4.4437454227e-01,9.9719572009e-01,1.0000000000e+00,1.0000000000e+00
II341_II318_A,sa0,4,0,10,1.5234375000e-01,8.0848725315e-01,9.9999993363e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II92_II50_A,sa0,10,0,10,9.0820312500e-02,6.1408003795e-01,9.9992672220e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II341_II318_A,sa1,1,0,7,7.8125000000e-03,7.5434863403e-02,5.4356900259e-01,9.9960757984e-01,1.0000000000e+00,1.0000000000e+00
II92_II50_A,sa1,5,0,10,3.0273437500e-02,2.6465199493e-01,9.5376943666e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II96_II127_2_A,sa0,3,0,6,1.0937500000e-01,6.8598614042e-01,9.9999067845e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II96,sa0,15,0,10,2.1191406250e-01,9.0758642294e-01,9.9999999995e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II409_II406_A,sa0,15,0,17,1.3500976563e-01,7.6551663190e-01,9.9999949752e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II265_II252_B,sa0,3,0,9,1.3671875000e-02,1.2860679022e-01,7.4756956582e-01,9.9999894945e-01,1.0000000000e+00,1.0000000000e+00
II96_II127_2_A,sa1,1,0,6,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
II347_II341_B,sa0,5,0,15,1.5136718750e-02,1.4146212507e-01,7.8243221471e-01,9.9999976235e-01,1.0000000000e+00,1.0000000000e+00
II96,sa1,5,0,10,3.0273437500e-02,2.6465199493e-01,9.5376943666e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II350_II347_B,sa0,12,0,17,1.3842773438e-01,7.7461910253e-01,9.9999966180e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II409_II406_A,sa1,3,0,13,3.4179687500e-03,3.3658737644e-02,2.8992333433e-01,9.6741239734e-01,1.0000000000e+00,1.0000000000e+00
II265_II252_B,sa1,15,0,9,4.2382812500e-01,9.9596799975e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II347_II341_B,sa1,15,0,17,1.4379882813e-01,7.8828180677e-01,9.9999981904e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II350_II347_B,sa1,6,0,16,3.0761718750e-02,2.6834627511e-01,9.5604018263e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II195_II261_A,sa0,2,0,9,5.8593750000e-03,5.7072691692e-02,4.4437454227e-01,9.9719572009e-01,1.0000000000e+00,1.0000000000e+00
II406_II374_B,sa0,1,0,9,1.9531250000e-03,1.9360479644e-02,1.7757952141e-01,8.5844045473e-01,9.9999999677e-01,1.0000000000e+00
II347_II316_B,sa0,1,0,6,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
II195_II261_A,sa1,2,0,9,5.8593750000e-03,5.7072691692e-02,4.4437454227e-01,9.9719572009e-01,1.0000000000e+00,1.0000000000e+00
II406_II374_B,sa1,6,0,14,1.5527343750e-01,8.1500435351e-01,9.9999995305e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II347_II316_B,sa1,3,0,8,1.4843750000e-01,7.9947649695e-01,9.9999989489e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II256_II158_A,sa0,6,0,6,9.8437500000e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II265_II256_B,sa0,1,0,6,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
II406_II378_A,sa0,2,0,12,1.4648437500e-03,1.4552254196e-02,1.3635352663e-01,7.6913396748e-01,9.9999956987e-01,1.0000000000e+00
II256_II158_A,sa1,1,0,6,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
II265_II256_B,sa1,5,0,6,4.8437500000e-01,9.9867156699e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II406_II378_A,sa1,12,0,17,1.1645507813e-01,7.1007454233e-01,9.9999580373e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II350_P_2_B,sa0,2,0,6,1.4062500000e-01,7.8030146796e-01,9.9999973802e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_1_II100_A,sa0,3,0,6,1.0937500000e-01,6.8598614042e-01,9.9999067845e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II350_P_2_B,sa1,1,0,5,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_1_II100_A,sa1,3,0,6,1.0937500000e-01,6.8598614042e-01,9.9999067845e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_2_II310_A,sa0,1,0,5,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
